impl,size,delay,interval,rep,interrupted,latency,checks
simple,2097152,0.03,0.005,16,True,1.2403000000004577e-05,100787
simple,2097152,0.03,0.005,17,True,1.2804000000001675e-05,100216
simple,2097152,0.03,0.005,18,True,1.3155000000004274e-05,101084
simple,2097152,0.03,0.005,19,True,1.3174000000004682e-05,100917
simple,2097152,0.03,0.005,20,True,1.253300000000207e-05,100898
simple,2097152,0.03,0.005,21,True,1.2593000000001714e-05,101119
simple,2097152,0.03,0.005,22,True,1.3205000000002243e-05,101077
simple,2097152,0.03,0.005,23,True,1.2354000000002613e-05,101482
simple,2097152,0.03,0.005,24,True,1.2203000000002295e-05,101145
simple,2097152,0.03,0.005,25,True,1.2855000000002587e-05,101249
simple,2097152,0.03,0.005,26,True,1.2764000000001913e-05,101405
simple,2097152,0.03,0.005,27,True,1.279400000000347e-05,101405
simple,2097152,0.03,0.005,28,True,1.254400000000322e-05,101360
simple,2097152,0.03,0.005,29,True,1.3335000000003205e-05,101251
simple,2097152,0.03,0.01,0,True,1.3275000000003562e-05,101301
simple,2097152,0.03,0.01,1,True,1.344600000000376e-05,101397
simple,2097152,0.03,0.01,2,True,1.4237000000003747e-05,101340
simple,2097152,0.03,0.01,3,True,1.3085000000002955e-05,101011
simple,2097152,0.03,0.01,4,True,1.2694000000004063e-05,101057
simple,2097152,0.03,0.01,5,True,1.2613000000001595e-05,101049
simple,2097152,0.03,0.01,6,True,1.2714000000003944e-05,101013
simple,2097152,0.03,0.01,7,True,1.2383000000004696e-05,100595
simple,2097152,0.03,0.01,8,True,1.7082000000001596e-05,101034
simple,2097152,0.03,0.01,9,True,1.645100000000413e-05,101034
simple,2097152,0.03,0.01,10,True,1.240400000000405e-05,100969
simple,2097152,0.03,0.01,11,True,1.5309000000001544e-05,101034
simple,2097152,0.03,0.01,12,True,1.2023000000003364e-05,101036
simple,2097152,0.03,0.01,13,True,1.3806000000001623e-05,101032
simple,2097152,0.03,0.01,14,True,1.3195000000004037e-05,101190
simple,2097152,0.03,0.01,15,True,1.2143000000002652e-05,101048
simple,2097152,0.03,0.01,16,True,1.3055000000001399e-05,101094
simple,2097152,0.03,0.01,17,True,1.2694000000004063e-05,101167
simple,2097152,0.03,0.01,18,True,1.3496000000001729e-05,100929
simple,2097152,0.03,0.01,19,True,1.2754000000003707e-05,101386
simple,2097152,0.03,0.01,20,True,1.2354000000002613e-05,101145
simple,2097152,0.03,0.01,21,True,1.2764000000001913e-05,101333
simple,2097152,0.03,0.01,22,True,1.3346000000004354e-05,101191
simple,2097152,0.03,0.01,23,True,1.3215000000003918e-05,101315
simple,2097152,0.03,0.01,24,True,1.4156000000001279e-05,101175
simple,2097152,0.03,0.01,25,True,1.3716000000003892e-05,101290
simple,2097152,0.03,0.01,26,True,1.3936000000002585e-05,101409
